jgagnant,tropheesg,cg1,cg2,cg3,cg4,cg5,cg6,cg7,cg8,jperdant,tropheesp,cp1,cp2,cp3,cp4,cp5,cp6,cp7,cp8
#V9PJPU9CP,6579,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#202QC02YVY,6585,Goblin Gang,Royal Recruits,Arrows,Firecracker,Mighty Miner,Executioner,Wall Breakers,Berserker
#V9PJPU9CP,6551,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#CQLU8YY8R,6538,Skeleton Army,Mega Knight,Knight,Barbarian Barrel,Furnace,Ice Wizard,Inferno Tower,Skeletons
#V9PJPU9CP,6523,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#202VU8JC8Q,6500,Mega Knight,Skeleton King,Baby Dragon,Vines,Mini P.E.K.K.A,Goblin Barrel,Tesla,Skeleton Army
#V9PJPU9CP,6494,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#YL220PLCP,6488,Valkyrie,Archers,Cannon,Skeleton Army,Skeleton King,The Log,Vines,Hog Rider
#V9PJPU9CP,6465,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#V9L2YPV0C,6464,Witch,Skeleton King,Dark Prince,Skeleton Army,Sparky,Valkyrie,Goblin Hut,Magic Archer
#V9PJPU9CP,6435,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#YYVRU8PPC,6441,Inferno Dragon,Cannon,Knight,The Log,Ice Wizard,Royal Hogs,Firecracker,Goblin Gang
#V9PJPU9CP,6406,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#VG2R29J2V,6405,Knight,Tesla,Hog Rider,Goblin Barrel,Princess,Mega Knight,Musketeer,The Log
#V9PJPU9CP,6377,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#VCPRJLPV9,6369,Royal Hogs,Lumberjack,Witch,Mini P.E.K.K.A,Electro Wizard,Cannon,Skeletons,The Log
#V9PJPU9CP,6347,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#C88CQ9VG9,6354,Skeleton Army,Inferno Dragon,Fireball,Arrows,Valkyrie,Skeleton King,Princess,Goblin Barrel
#V9PJPU9CP,6317,Royal Hogs,Goblin Cage,Flying Machine,Barbarian Barrel,Royal Recruits,Fireball,Arrows,Zappies,#20CGQ0VRYV,6323,Witch,Knight,Skeletons,Suspicious Bush,Mega Knight,Cannon,Night Witch,The Log
#8PGV00LV,6711,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Tornado,#20U2UGQCGC,6712,Knight,Princess,Ice Spirit,Goblin Gang,Inferno Tower,Rocket,Goblin Barrel,The Log
#G9PJCJ2YP,6727,Royal Ghost,Tesla,Mini P.E.K.K.A,Mega Knight,Dart Goblin,Knight,Goblin Barrel,The Log,#8PGV00LV,6742,Firecracker,P.E.K.K.A,Electro Wizard,Inferno Dragon,Goblin Barrel,Lightning,Bats,Cannon
#8PGV00LV,6710,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Giant Snowball,#208QU2LRU9,6737,Witch,Goblin Barrel,Skeleton Army,Vines,Princess,Battle Ram,Cannon,Boss Bandit
#VYURRUVJR,6740,Prince,Princess,Knight,Rascals,Goblin Gang,Dart Goblin,Goblin Barrel,The Log,#8PGV00LV,6740,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Giant Snowball
#8PGV00LV,6708,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Arrows,#2022RL0P88,6735,Cannon,Skeletons,Hog Rider,Musketeer,Ice Golem,Ice Spirit,Fireball,The Log
#8PGV00LV,6678,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Fireball,#URP02R8GQ,6682,Mega Knight,Electro Wizard,The Log,Skeletons,Guards,Lightning,Hog Rider,Furnace
#200JJ8QURC,6690,Skeleton Army,Witch,Musketeer,Arrows,Goblin Barrel,Ice Spirit,Boss Bandit,Freeze,#8PGV00LV,6709,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Fireball
#8PGV00LV,6679,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Fireball,#VPCVYJQ0P,6679,Balloon,Bowler,Lumberjack,Inferno Dragon,Electro Dragon,Freeze,Tornado,Barbarian Barrel
#8PGV00LV,6649,Mega Knight,Skeleton Army,Baby Dragon,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Fireball,#J2GQGP8RQ,6650,Tesla,Electro Dragon,Mortar,Royal Hogs,Firecracker,Fireball,Skeletons,Knight
#2RCPQVRV,6672,Ice Spirit,Witch,Ice Wizard,Arrows,Earthquake,Hog Rider,Skeleton Army,Golden Knight,#8PGV00LV,6679,Mega Knight,Skeleton Army,Firecracker,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Fireball
#8PGV00LV,6649,Mega Knight,Skeleton Army,Witch,Mini P.E.K.K.A,Goblin Barrel,Bats,The Log,Fireball,#VL2QRYVC2,6649,Balloon,Baby Dragon,Bowler,Lumberjack,Inferno Dragon,Freeze,Tornado,Barbarian Barrel
#8PGV00LV,6619,Mega Knight,Skeleton Army,Mini P.E.K.K.A,Firecracker,Bats,Bomber,Arrows,Fireball,#VPYV988PC,6619,P.E.K.K.A,Battle Ram,Electro Wizard,Bandit,Royal Ghost,Magic Archer,Fireball,Zap
#8PGV00LV,6589,Mega Knight,Skeleton Army,Mini P.E.K.K.A,Minions,Witch,Bomber,Arrows,Fireball,#VPYJVPRGL,6589,P.E.K.K.A,Baby Dragon,Electro Wizard,Bandit,Ram Rider,Lightning,Barbarian Barrel,Giant Snowball
#8PGV00LV,6589,Hog Rider,Goblin Curse,Furnace,Princess,The Log,Minions,Elite Barbarians,Hunter,#V2ULQ989L,2685,Flying Machine,Skeleton Army,Mini P.E.K.K.A,Ice Spirit,Freeze,Archer Queen,Spear Goblins,Tombstone
#8PGV00LV,6589,Princess,Goblin Gang,Bats,Inferno Dragon,Cannon,Goblin Hut,Knight,Fireball,#V2ULQ989L,2685,Bandit,Royal Ghost,Archer Queen,Berserker,Valkyrie,Electro Spirit,Barbarian Barrel,Dark Prince
